BAT_NAME,RA,DEC,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,FLUX,FLUX_LO,FLUX_HI,CONTAM_FRAC,GAMMA,GAMMA_LO,GAMMA_HI,CHI_SQ_R,REDSHIFT,LUM,ASSOC_STRENGTH,CL2,TYPE
SWIFT J1238.9-2720,189.73401,-27.308767,30.679146,ESO 506-G027,,189.7275,-27.3078,93.94,88.28,99.72,0.0,1.71,1.63,1.79,2.4,0.02502,44.12732,0,5,Sy2
SWIFT J1239.3-1611,189.78,-16.17164,14.356301,LEDA 170194,IGR J12392-1612,189.7762,-16.1797,41.15,35.73,46.82,0.0,1.76,1.58,1.94,1.4,0.03667,44.10838,0,5,Sy2
SWIFT J1239.6-0519,189.9222,-5.328865,35.326626,NGC 4593,,189.9143,-5.3443,88.05,83.14,93.04,0.0,1.84,1.76,1.91,2.3,0.009,43.200592,0,4,Sy1
SWIFT J1240.9-3331,190.13574,-33.603096,5.827077,ESO 381- G 007,,190.1956,-33.57,15.72,10.57,21.57,0.0,1.87,1.39,2.41,0.7,0.05503,44.054596,0,4,Sy1.5
SWIFT J1240.9+2735,190.19426,27.576664,5.1501684,KUG 1238+278A,,190.1934,27.565,7.13,4.44,10.38,0.0,2.47,1.88,3.3,1.0,0.0565,43.735043,0,5,Sy2
SWIFT J1241.6-5748,190.40363,-57.815746,15.868284,WKK 1263,,190.357,-57.834,46.66,41.69,51.81,1.061409E-14,1.77,1.62,1.92,0.3,0.02443,43.802303,0,4,Sy1.5
SWIFT J1248.2-5828,192.07947,-58.4327,4.9408646,2MASX J12475784-5829599,,191.991,-58.500057,9.56,5.61,14.35,1.1029729E-4,2.18,1.52,2.99,0.9,0.028,43.234596,0,5,Sy1.9
SWIFT J1252.3-1323,193.06613,-13.381309,6.1369114,NGC 4748,,193.05191,-13.414722,13.78,9.26,18.96,0.0,2.01,1.56,2.56,1.2,0.01463,42.82084,0,4,Sy1/NL
SWIFT J1255.0-2657,193.71771,-26.930151,5.9345365,6dF J1254564-265702,AM 1252-264,193.73479,-26.950527,16.11,11.16,21.65,0.0,1.92,1.49,2.41,1.4,0.059117,44.129997,0,5,Sy1.9
SWIFT J1300.1+1635,195.02153,16.57511,5.7947764,2MASX J13000533+1632151,,195.02231,16.537443,14.36,9.8,19.49,3.4031787E-6,1.53,1.06,2.02,0.6,0.08,44.355515,0,4,Sy1Sy2
SWIFT J1302.9+1620,195.72032,16.402815,9.739655,Mrk 783,,195.745,16.408,17.18,13.75,20.92,1.2850202E-6,2.19,1.92,2.5,0.5,0.0672,44.2742,0,4,Sy1.5
SWIFT J1303.8+5345,195.994,53.7962,18.863075,SBS 1301+540,,195.9978,53.7917,32.61,29.35,36.0,1.0858472E-17,1.93,1.79,2.06,0.8,0.02988,43.825146,0,4,Sy1
SWIFT J1304.3-1022,196.08266,-10.373998,9.218428,NGC 4939,,196.05995,-10.339611,24.85,19.81,30.27,0.010302468,1.76,1.48,2.05,1.5,0.010374,42.775505,0,5,Sy2
SWIFT J1305.4-4928,196.34119,-49.471508,79.30764,NGC 4945,,196.3645,-49.4682,284.86,279.16,290.61,0.0,1.47,1.44,1.5,62.9,0.00188,42.34557,0,5,Sy2
SWIFT J1305.4-1034,196.3469,-10.566673,5.44216,PKS 1302-102,,196.38756,-10.555396,13.21,0.0,0.0,0.02949873,2.01,0.0,0.0,1.1,0.2784,45.50636,0,8,Sy1.2/FSRQ
SWIFT J1306.4-4025A,196.66296,-40.40405,17.057749,ESO 323-077,,196.6089,-40.4146,33.06,0.0,0.0,0.21005015,2.14,0.0,0.0,3.8,0.01501,43.223415,0,4,Sy1.2
SWIFT J1310.9-5553,197.72209,-55.877014,8.685757,IGR J13109-5552,PMN J1310-5552,197.683,-55.863,32.55,26.8,38.61,4.946854E-5,1.39,1.13,1.65,0.6,0.104,44.952934,0,4,Sy1
SWIFT J1310.7+0834,197.75551,8.612797,5.2777395,2MASX J13105723+0837387,,197.7385,8.6273,10.34,6.62,14.65,0.0,1.99,1.5,2.57,2.0,0.0527,43.833637,0,5,Sy2
SWIFT J1313.1-1108,198.29959,-11.122312,6.6246686,II SZ 010,QSO B1310-108,198.27408,-11.128444,15.2,10.85,20.12,0.0,2.09,1.68,2.57,1.2,0.034,43.608482,0,4,Sy1
SWIFT J1313.6+3650A,198.40619,36.82624,5.3601623,RX J1313.8+3653,,198.45403,36.899433,6.36,0.0,0.0,0.06950454,2.1,0.0,0.0,0.6,0.066762,43.836685,0,4,Sy1.5
SWIFT J1313.6+3650B,198.40619,36.82624,5.3601623,NGC 5033,,198.365,36.593,5.52,0.0,0.0,0.084595725,2.29,0.0,0.0,0.8,0.002919,41.015724,0,5,Sy1.9
SWIFT J1315.8+4420,198.8527,44.399704,11.941006,UGC 08327 NED02,,198.822,44.4071,17.08,14.31,20.07,0.0,2.3,2.07,2.55,1.3,0.03655,43.723576,0,5,Sy2
SWIFT J1316.9-7155,199.27177,-71.90927,7.7646685,2MASX J13165424-7155270,1RXS J131651.8-715537,199.22617,-71.924194,16.35,12.57,20.5,0.0,2.15,1.82,2.53,0.8,0.0705,44.29634,0,2,Sy1
SWIFT J1325.4-4301,201.381,-43.025875,479.84882,Cen A,,201.3651,-43.0191,1388.99,1383.6,1394.4,0.0,1.85,1.85,1.86,3.3,0.00183,43.01019,0,5,Sy2
SWIFT J1331.2-2524,202.78745,-25.40237,4.868167,ESO 509- G 038,,202.80792,-25.402779,14.24,8.44,21.35,0.0,1.82,1.09,2.66,1.9,0.025971,43.340996,0,4,Sy1
SWIFT J1334.8-2328,203.70439,-23.460608,7.1980896,ESO 509-IG 066,,203.66516,-23.446527,18.18,13.2,23.73,0.0,1.98,1.57,2.43,0.5,0.034307,43.694237,0,5,Sy2
SWIFT J1336.0+0304,203.95984,2.9897008,7.088488,NGC 5231,,203.951,2.999,15.62,11.17,20.58,0.0,2.02,1.59,2.52,1.2,0.02176,43.224773,0,5,Sy2
SWIFT J1335.8-3416,203.9637,-34.294666,28.338634,MCG -06-30-015,,203.9741,-34.2956,63.33,59.01,67.8,1.2130909E-5,2.41,2.3,2.52,4.1,0.00775,42.926758,0,4,Sy1.2
SWIFT J1341.2-1439,205.2762,-14.638103,9.296771,2MASX J13411287-1438407,1RXS J134112.5-143836,205.30377,-14.644605,24.07,19.52,29.0,0.0,2.11,1.84,2.4,1.4,0.04179,43.992264,0,4,Sy1
SWIFT J1341.5+6742,205.28532,67.71004,5.198686,NGC 5283,,205.274,67.6723,8.9,5.68,12.61,0.0,1.94,1.44,2.54,0.1,0.0104,42.33176,0,5,Sy2
SWIFT J1341.2+3023,205.33427,30.358381,10.980219,Mrk 268,,205.2964,30.378122,19.36,16.13,22.81,2.976309E-9,2.05,1.83,2.3,1.2,0.039861,43.85542,0,5,Sy2 Galaxy pair
SWIFT J1344.7+1934,206.0897,19.552364,7.8993587,CGCG 102-048,,206.0653,19.5667,19.51,15.02,24.35,3.0207E-4,1.61,1.28,1.96,0.7,0.0269,43.508873,0,5,Sy1.9
SWIFT J1345.5+4139,206.3267,41.70507,8.856479,NGC 5290,,206.32991,41.71258,19.17,15.41,23.19,0.0,1.69,1.42,1.98,0.6,0.008583,42.496998,0,5,Sy2
SWIFT J1346.4+1924,206.60355,19.406422,6.681395,2MASX J13462846+1922432,,206.61841,19.378675,10.84,7.65,14.48,4.3693391E-4,2.39,1.95,2.96,1.2,0.084,44.278156,0,4,Sy1
SWIFT J1347.1+7325,206.71909,73.429474,5.1294413,2MASSi J1346085+732053,,206.53511,73.34804,6.0,3.48,9.17,0.0,2.6,1.91,3.72,0.2,0.29,45.204327,0,8,Sy1/QSO
SWIFT J1347.4-6033,206.88843,-60.58842,42.293037,4U 1344-60,,206.9,-60.6178,107.52,102.89,112.21,0.0,1.98,1.92,2.04,3.0,0.01288,43.60127,0,4,Sy1.5
SWIFT J1349.3-3018,207.32278,-30.326431,107.76962,IC 4329A,,207.3303,-30.3094,290.49,285.42,295.59,0.0,2.04,2.02,2.07,21.6,0.01605,44.226116,0,4,Sy1.2
SWIFT J1349.7+0209,207.4447,2.099139,7.313268,UM 614,,207.4701,2.0791,16.18,11.79,21.12,8.522594E-6,1.96,1.57,2.41,0.5,0.0327,43.60092,0,4,Sy1
SWIFT J1351.5-1814,207.90002,-18.233362,7.894632,2MASX J13512953-1813468,,207.8729,-18.2297,17.88,13.25,23.03,0.0,2.2,1.8,2.67,0.5,0.012218,42.775875,0,4,Sy1 (NL)
SWIFT J1352.8+6917,208.28845,69.31297,21.910461,Mrk 279,,208.2644,69.3082,39.2,35.73,42.78,0.0,1.88,1.77,2.0,1.5,0.03045,43.921864,0,4,Sy1.5
SWIFT J1354.5+1326,208.67744,13.402708,5.5515976,2MASX J13542913+1328068,,208.6216,13.4687,9.93,6.26,14.23,0.0,2.02,1.49,2.67,0.6,0.0633,43.981808,0,5,Sy2 pair
SWIFT J1355.9+1822,208.98433,18.370996,5.3872895,Mrk 463,,209.01196,18.372078,10.98,7.57,14.85,0.0,2.02,1.62,2.48,1.9,0.050355,43.818718,0,4,Sy1Sy2/MERGER/Sy2
