id | Fermi name | Counterpart name | RA (J2000.0) | Dec (J2000.0) | Class | Redshift | Flux 1-100 GeV (ph/cm2/s) | Spectral index
869 | 2FGLJ2049.8+1001 | PKS 2047+098 | 312.44125 | 10.05419 | AGU | -999 | (10.2+/-1.7) e-10 | 2.375
870 | 2FGLJ2103.6-6236 | PMN J2103-6232 | 315.90917 | -62.54039 | AGU | -999 | (12.9+/-1.6) e-10 | 1.927
871 | 2FGLJ2108.9-6636 | PKS 2104-668 | 317.21542 | -66.62275 | AGU | -999 | (6.2+/-1.2) e-10 | 1.877
872 | 2FGLJ2112.5+0818 | 1RXS 211242.5+081831 | 318.17875 | 8.31003 | AGU | -999 | (5.8+/-1.5) e-10 | 1.937
873 | 2FGLJ2120.6-1301 | NVSS J212035-125443 | 320.14917 | -12.91211 | AGU | -999 | (6.5+/-1.4) e-10 | 2.474
874 | 2FGLJ2134.5-6513 | PKS 2130-654 | 323.55417 | -65.22697 | AGU | -999 | (4.2+/-1.3) e-10 | 1.957
875 | 2FGLJ2223.4+0104 | NVSS J222329+010226 | 335.87292 | 1.04069 | AGU | -999 | (4.4+/-1.2) e-10 | 1.627
876 | 2FGLJ2236.1-3628 | NVSS J223554-362901 | 338.97833 | -36.48414 | AGU | -999 | (6.2+/-1.3) e-10 | 2.231
877 | 2FGLJ2246.8-5203 | 1RXS 224642.0-520638 | 341.67542 | -52.11142 | AGU | 0.194 | (4.4+/-1.2) e-10 | 1.687
878 | 2FGLJ2250.2-4205 | PMN J2250-4206 | 342.59208 | -42.10358 | AGU | 0.1187 | (5.7+/-1.2) e-10 | 1.729
879 | 2FGLJ2309.8-3627 | 1RXS 230940.6-363241 | 347.41792 | -36.54153 | AGU | -999 | (5.6+/-1.2) e-10 | 1.65
880 | 2FGLJ2317.3-4534 | 1RXS 231733.0-453348 | 349.38208 | -45.56678 | AGU | -999 | (9.6+/-1.4) e-10 | 2.068
881 | 2FGLJ2323.0-4918 | 1RXS 232256.7-491658 | 350.72583 | -49.27506 | AGU | -999 | (3.4+/-1.1) e-10 | 1.8
882 | 2FGLJ2324.6+0801 | PMN J2324+0801 | 351.18875 | 8.03492 | AGU | -999 | (6.5+/-1.3) e-10 | 2.125
883 | 2FGLJ2325.4+1650 | NVSS J232538+164641 | 351.40875 | 16.77817 | AGU | -999 | (4.1+/-1.1) e-10 | 2.118
884 | 2FGLJ2327.9-4037 | PKS 2325-408 | 352.08083 | -40.58583 | AGU | -999 | (12.5+/-1.8) e-10 | 2.463
885 | 2FGLJ2350.2-3002 | 1RXS 235035.3-300537 | 357.6425 | -30.09867 | AGU | -999 | (5.7+/-1.2) e-10 | 2.185
886 | 2FGLJ0001.7-4159 | 1RXS J000135.5-415519 | 0.38792 | -41.92392 | AGU | 0 | (4.7+/-1.1) e-10 | 2.143
